study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	library_layout	nominal_length	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	cram_index_ftp	cram_index_aspera	cram_index_galaxy	sample_alias	broker_name	sample_title	first_created
PRJEB29398	ERP111695	SAMEA5047761	ERS2859488	ERX2866884	ERR2860624	ERA1635303	1590	Lactobacillus plantarum	ILLUMINA	Illumina MiSeq	unspecified	PAIRED	300	WGS	GENOMIC	unspecified	3082716	1240536074	CERELA	2018-11-30	2018-11-16	Illumina MiSeq paired end sequencing	Genome sequencing: Raw data of Lactobacillus plantarum CRL 681	ena-STUDY-CERELA-26-10-2018-13:37:51:770-371	ena-EXPERIMENT-CERELA-26-10-2018-13:37:51:262-1	ena-RUN-CERELA-26-10-2018-13:37:51:262-1	471301869;555805681;	fe148e2e5f61399a98db5deb87463bdd;0b27a6969e1ab89b20e6059f70e0579e;	ftp.sra.ebi.ac.uk/vol1/fastq/ERR286/004/ERR2860624/ERR2860624_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR286/004/ERR2860624/ERR2860624_2.fastq.gz;	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR286/004/ERR2860624/ERR2860624_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR286/004/ERR2860624/ERR2860624_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/ERR286/004/ERR2860624/ERR2860624_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR286/004/ERR2860624/ERR2860624_2.fastq.gz;	452930314;539103638;	142153297859c13912555ef38cc9a9c1;981f9cfef848c02c94afc2f767326f57;	ftp.sra.ebi.ac.uk/vol1/run/ERR286/ERR2860624/CRL681.001.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR286/ERR2860624/CRL681.001.R2.fastq.gz;	fasp.sra.ebi.ac.uk:/vol1/run/ERR286/ERR2860624/CRL681.001.R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR286/ERR2860624/CRL681.001.R2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/run/ERR286/ERR2860624/CRL681.001.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR286/ERR2860624/CRL681.001.R2.fastq.gz;	FASTQ;FASTQ;	832461699	b622fa7d2d60b05c358e05cb435a87c1	ftp.sra.ebi.ac.uk/vol1/err/ERR286/004/ERR2860624	fasp.sra.ebi.ac.uk:/vol1/err/ERR286/004/ERR2860624	ftp.sra.ebi.ac.uk/vol1/err/ERR286/004/ERR2860624				CRL 681		Raw data of Lactobacillus plantarum CRL 681	2018-10-26
PRJEB18589	ERP020531	SAMEA104281744	ERS1906722	ERX2874687	ERR2868736	ERA1646484	1598	Lactobacillus reuteri	ILLUMINA	Illumina HiSeq 2500	DN495273C:B1	PAIRED	450	WGS	GENOMIC	RANDOM	5096884	637110500	SC	2018-11-06	2018-11-16	Illumina HiSeq 2500 paired end sequencing	Commensal_bacterial_genomes_from_health_and_disease	Commensal_bacterial_genomes_from_health_and_disease-sc-4530	SC_EXP_24141_1#2	SC_RUN_24141_1#2	174132032;178560330;	44ed6defe38580eb618e90242d9b413a;10abc9edcd055893a203512b060f78cf;	ftp.sra.ebi.ac.uk/vol1/fastq/ERR286/006/ERR2868736/ERR2868736_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR286/006/ERR2868736/ERR2868736_2.fastq.gz;	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR286/006/ERR2868736/ERR2868736_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR286/006/ERR2868736/ERR2868736_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/ERR286/006/ERR2868736/ERR2868736_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR286/006/ERR2868736/ERR2868736_2.fastq.gz;	237237158	94d210c4963b2ef54934cdad6a4b15ae	ftp.sra.ebi.ac.uk/vol1/run/ERR286/ERR2868736/24141_1#2.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR286/ERR2868736/24141_1#2.cram	ftp.sra.ebi.ac.uk/vol1/run/ERR286/ERR2868736/24141_1#2.cram	CRAM						ftp.sra.ebi.ac.uk/vol1/run/ERR286/ERR2868736/24141_1#2.cram.crai	fasp.sra.ebi.ac.uk:/vol1/run/ERR286/ERR2868736/24141_1#2.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR286/ERR2868736/24141_1#2.cram.crai	113eb7d0-8852-11e7-9e36-3c4a9275d6c8		mGen7078309	2018-11-06
PRJEB18589	ERP020531	SAMEA104281747	ERS1906725	ERX2874690	ERR2868739	ERA1646484	151781	Lactobacillus intestinalis	ILLUMINA	Illumina HiSeq 2500	DN495273C:E1	PAIRED	450	WGS	GENOMIC	RANDOM	6088554	761069250	SC	2018-11-06	2018-11-16	Illumina HiSeq 2500 paired end sequencing	Commensal_bacterial_genomes_from_health_and_disease	Commensal_bacterial_genomes_from_health_and_disease-sc-4530	SC_EXP_24141_1#5	SC_RUN_24141_1#5	201914601;208066554;	871dff963a3d32891a523cd7cd9f14d4;ba3e333f1bc360a5691de060fc7d5db2;	ftp.sra.ebi.ac.uk/vol1/fastq/ERR286/009/ERR2868739/ERR2868739_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR286/009/ERR2868739/ERR2868739_2.fastq.gz;	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR286/009/ERR2868739/ERR2868739_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR286/009/ERR2868739/ERR2868739_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/ERR286/009/ERR2868739/ERR2868739_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR286/009/ERR2868739/ERR2868739_2.fastq.gz;	274988501	5169a58feed325d516322d458da47d49	ftp.sra.ebi.ac.uk/vol1/run/ERR286/ERR2868739/24141_1#5.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR286/ERR2868739/24141_1#5.cram	ftp.sra.ebi.ac.uk/vol1/run/ERR286/ERR2868739/24141_1#5.cram	CRAM						ftp.sra.ebi.ac.uk/vol1/run/ERR286/ERR2868739/24141_1#5.cram.crai	fasp.sra.ebi.ac.uk:/vol1/run/ERR286/ERR2868739/24141_1#5.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR286/ERR2868739/24141_1#5.cram.crai	1166b7ee-8852-11e7-9e36-3c4a9275d6c8		mGen7078312	2018-11-06
PRJEB18589	ERP020531	SAMEA104281817	ERS1906795	ERX2874760	ERR2868809	ERA1646484	1622	Lactobacillus murinus	ILLUMINA	Illumina HiSeq 2500	DN495273C:C12	PAIRED	450	WGS	GENOMIC	RANDOM	5062676	632834500	SC	2018-11-06	2018-11-16	Illumina HiSeq 2500 paired end sequencing	Commensal_bacterial_genomes_from_health_and_disease	Commensal_bacterial_genomes_from_health_and_disease-sc-4530	SC_EXP_24141_1#91	SC_RUN_24141_1#91	174617018;180521644;	7bedc6125c39cc9dcb7c20ecd90be3c8;0cb33d74432da9df463c1b89fb64e51e;	ftp.sra.ebi.ac.uk/vol1/fastq/ERR286/009/ERR2868809/ERR2868809_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR286/009/ERR2868809/ERR2868809_2.fastq.gz;	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR286/009/ERR2868809/ERR2868809_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR286/009/ERR2868809/ERR2868809_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/ERR286/009/ERR2868809/ERR2868809_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR286/009/ERR2868809/ERR2868809_2.fastq.gz;	240489453	c6f440facf85e5e29c50bb76012aa415	ftp.sra.ebi.ac.uk/vol1/run/ERR286/ERR2868809/24141_1#91.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR286/ERR2868809/24141_1#91.cram	ftp.sra.ebi.ac.uk/vol1/run/ERR286/ERR2868809/24141_1#91.cram	CRAM						ftp.sra.ebi.ac.uk/vol1/run/ERR286/ERR2868809/24141_1#91.cram.crai	fasp.sra.ebi.ac.uk:/vol1/run/ERR286/ERR2868809/24141_1#91.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR286/ERR2868809/24141_1#91.cram.crai	14071e26-8852-11e7-9e36-3c4a9275d6c8		mGen7078398	2018-11-06
PRJEB29504	ERP111811	SAMEA5138304	ERS2922671	ERX2938651	ERR2935857	ERA1667276	1613	Lactobacillus fermentum	ILLUMINA	Illumina HiSeq 1500	unspecified	PAIRED	300	WGS	GENOMIC	RANDOM	16379390	3308636780	UB	2018-11-28	2018-11-29	Illumina HiSeq 1500 paired end sequencing	Ultra-deep, long-read nanopore sequencing of mock microbial community standards	ena-STUDY-UB-05-11-2018-16:40:10:138-927	ena-EXPERIMENT-UB-28-11-2018-12:29:22:169-10	ena-RUN-UB-28-11-2018-12:29:22:169-10	1069817301;1104223294;	ca89d9156d7488acd35e8660bf8c2a4c;84c5352af06b3feef7114942f71ba3d7;	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/007/ERR2935857/ERR2935857_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/007/ERR2935857/ERR2935857_2.fastq.gz;	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR293/007/ERR2935857/ERR2935857_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR293/007/ERR2935857/ERR2935857_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/007/ERR2935857/ERR2935857_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/007/ERR2935857/ERR2935857_2.fastq.gz;	1218826553;1260166235;	b249a676ddb596bd3bb0e34da7b58f9b;647e1a6c6a93af5d9580e7804885c0cf;	ftp.sra.ebi.ac.uk/vol1/run/ERR293/ERR2935857/in506_10_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR293/ERR2935857/in506_10_R2.fastq.gz;	fasp.sra.ebi.ac.uk:/vol1/run/ERR293/ERR2935857/in506_10_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR293/ERR2935857/in506_10_R2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/run/ERR293/ERR2935857/in506_10_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR293/ERR2935857/in506_10_R2.fastq.gz;	FASTQ;FASTQ;	1424899410	4388e77f789cfb5e3be28c47ea0c2a31	ftp.sra.ebi.ac.uk/vol1/err/ERR293/007/ERR2935857	fasp.sra.ebi.ac.uk:/vol1/err/ERR293/007/ERR2935857	ftp.sra.ebi.ac.uk/vol1/err/ERR293/007/ERR2935857				in506_10_Lactobacillus_fermentum		in506_10_Lactobacillus_fermentum	2018-11-28
PRJEB3060	ERP001475	SAMEA1920316	ERS214009	ERX271948	ERR298623	ERA227064	227942	Lactobacillus gastricus	ILLUMINA	Illumina HiSeq 2000	6868447	PAIRED	211	WGS	GENOMIC	RANDOM	2394193	478838600	SC	2013-06-11	2018-11-16	Illumina HiSeq 2000 paired end sequencing	Lactobacillus_in_severe_early_childhood_caries	Lactobacillus_in_severe_early_childhood_caries-sc-2012-06-01T12:52:01Z-2233	SC_EXP_9517_8#1	SC_RUN_9517_8#1	235196067;248411394;	0cb831c328b90e88466c9abf8508a73a;6924f8cf5980dda52117e53a275f4b9d;	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/ERR298623/ERR298623_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/ERR298623/ERR298623_2.fastq.gz;	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/ERR298623/ERR298623_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/ERR298623/ERR298623_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/ERR298623/ERR298623_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/ERR298623/ERR298623_2.fastq.gz;	484665352	28ae47b87de4e34228d259f0d85f4a72	ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR298623/9517_8#1.bam	fasp.sra.ebi.ac.uk:/vol1/run/ERR298/ERR298623/9517_8#1.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR298623/9517_8#1.bam	BAM	373591054	51163e93aa15ea0578ca6abc75fc411f	ftp.sra.ebi.ac.uk/vol1/err/ERR298/ERR298623	fasp.sra.ebi.ac.uk:/vol1/err/ERR298/ERR298623	ftp.sra.ebi.ac.uk/vol1/err/ERR298/ERR298623				G205_1_27c-sc-2013-02-14T07:42:50Z-1561594			2013-06-11
PRJEB3060	ERP001475	SAMEA1920317	ERS214010	ERX271949	ERR298624	ERA227064	47715	Lactobacillus rhamnosus	ILLUMINA	Illumina HiSeq 2000	6868459	PAIRED	211	WGS	GENOMIC	RANDOM	2241753	448350600	SC	2013-06-11	2018-11-16	Illumina HiSeq 2000 paired end sequencing	Lactobacillus_in_severe_early_childhood_caries	Lactobacillus_in_severe_early_childhood_caries-sc-2012-06-01T12:52:01Z-2233	SC_EXP_9517_8#2	SC_RUN_9517_8#2	222672265;235407520;	6e80ac222801acc0e50872d046a51bf0;835ed15ea7a947252ef5893b1b9b4a79;	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/ERR298624/ERR298624_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/ERR298624/ERR298624_2.fastq.gz;	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/ERR298624/ERR298624_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/ERR298624/ERR298624_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/ERR298624/ERR298624_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/ERR298624/ERR298624_2.fastq.gz;	457729219	a81936adaa633714a8e66dacac03e3ea	ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR298624/9517_8#2.bam	fasp.sra.ebi.ac.uk:/vol1/run/ERR298/ERR298624/9517_8#2.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR298624/9517_8#2.bam	BAM	354612689	3899858bcb186513f5e55df20b6b2c9a	ftp.sra.ebi.ac.uk/vol1/err/ERR298/ERR298624	fasp.sra.ebi.ac.uk:/vol1/err/ERR298/ERR298624	ftp.sra.ebi.ac.uk/vol1/err/ERR298/ERR298624				G211_1_25-sc-2013-02-14T07:42:51Z-1561595			2013-06-11
PRJEB3060	ERP001475	SAMEA1920319	ERS214011	ERX271950	ERR298625	ERA227064	47770	Lactobacillus crispatus	ILLUMINA	Illumina HiSeq 2000	6868471	PAIRED	211	WGS	GENOMIC	RANDOM	2219873	443974600	SC	2013-06-11	2018-11-16	Illumina HiSeq 2000 paired end sequencing	Lactobacillus_in_severe_early_childhood_caries	Lactobacillus_in_severe_early_childhood_caries-sc-2012-06-01T12:52:01Z-2233	SC_EXP_9517_8#3	SC_RUN_9517_8#3	215210037;227033352;	e52833acb6a66c1e25eb011dda55cc76;4c66fac36bdacf7394a66027fe188f0e;	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/ERR298625/ERR298625_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/ERR298625/ERR298625_2.fastq.gz;	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/ERR298625/ERR298625_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/ERR298625/ERR298625_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/ERR298625/ERR298625_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/ERR298625/ERR298625_2.fastq.gz;	441680695	4e3ee0068c54b2f4e400a2adb4758965	ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR298625/9517_8#3.bam	fasp.sra.ebi.ac.uk:/vol1/run/ERR298/ERR298625/9517_8#3.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR298625/9517_8#3.bam	BAM	341886419	9f8c50090f1f106e21d3e8169bd7e037	ftp.sra.ebi.ac.uk/vol1/err/ERR298/ERR298625	fasp.sra.ebi.ac.uk:/vol1/err/ERR298/ERR298625	ftp.sra.ebi.ac.uk/vol1/err/ERR298/ERR298625				G216_1_2-sc-2013-02-14T07:42:53Z-1561596			2013-06-11
PRJEB3060	ERP001475	SAMEA1920318	ERS214012	ERX271951	ERR298626	ERA227064	1596	Lactobacillus gasseri	ILLUMINA	Illumina HiSeq 2000	6868483	PAIRED	211	WGS	GENOMIC	RANDOM	2363672	472734400	SC	2013-06-11	2018-11-16	Illumina HiSeq 2000 paired end sequencing	Lactobacillus_in_severe_early_childhood_caries	Lactobacillus_in_severe_early_childhood_caries-sc-2012-06-01T12:52:01Z-2233	SC_EXP_9517_8#4	SC_RUN_9517_8#4	227795190;239994162;	43c9a91d457c912bfae6f4a9db4b9fa6;d474e3afb324dd6e5a21cc19095fb9cc;	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/ERR298626/ERR298626_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/ERR298626/ERR298626_2.fastq.gz;	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/ERR298626/ERR298626_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/ERR298626/ERR298626_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/ERR298626/ERR298626_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/ERR298626/ERR298626_2.fastq.gz;	466885633	beaac7f33b4f0837dac01735a7dcf6b1	ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR298626/9517_8#4.bam	fasp.sra.ebi.ac.uk:/vol1/run/ERR298/ERR298626/9517_8#4.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR298626/9517_8#4.bam	BAM	361736924	177074acd05354a340ca65fd3c0211b6	ftp.sra.ebi.ac.uk/vol1/err/ERR298/ERR298626	fasp.sra.ebi.ac.uk:/vol1/err/ERR298/ERR298626	ftp.sra.ebi.ac.uk/vol1/err/ERR298/ERR298626				G218_1_1-sc-2013-02-14T07:42:54Z-1561597			2013-06-11
PRJEB3060	ERP001475	SAMEA1920321	ERS214013	ERX271952	ERR298627	ERA227064	1590	Lactobacillus plantarum	ILLUMINA	Illumina HiSeq 2000	6868495	PAIRED	211	WGS	GENOMIC	RANDOM	2198885	439777000	SC	2013-06-11	2018-11-16	Illumina HiSeq 2000 paired end sequencing	Lactobacillus_in_severe_early_childhood_caries	Lactobacillus_in_severe_early_childhood_caries-sc-2012-06-01T12:52:01Z-2233	SC_EXP_9517_8#5	SC_RUN_9517_8#5	216638052;228797095;	f0739ec937a6c1e444525f90c76962e5;9c7c417ee6fd626a7498ced5bf581c95;	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/ERR298627/ERR298627_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/ERR298627/ERR298627_2.fastq.gz;	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/ERR298627/ERR298627_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/ERR298627/ERR298627_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/ERR298627/ERR298627_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/ERR298627/ERR298627_2.fastq.gz;	448067599	40f70343dc924797935bbdc772c0bf40	ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR298627/9517_8#5.bam	fasp.sra.ebi.ac.uk:/vol1/run/ERR298/ERR298627/9517_8#5.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR298627/9517_8#5.bam	BAM	344647072	52924573bc2b18c16e44f3319225cdfa	ftp.sra.ebi.ac.uk/vol1/err/ERR298/ERR298627	fasp.sra.ebi.ac.uk:/vol1/err/ERR298/ERR298627	ftp.sra.ebi.ac.uk/vol1/err/ERR298/ERR298627				G226_4_1-sc-2013-02-14T07:42:55Z-1561598			2013-06-11
PRJEB3060	ERP001475	SAMEA1920324	ERS214017	ERX271956	ERR298631	ERA227064	152331	Lactobacillus parabuchneri	ILLUMINA	Illumina HiSeq 2000	6868448	PAIRED	211	WGS	GENOMIC	RANDOM	2015567	403113400	SC	2013-06-11	2018-11-16	Illumina HiSeq 2000 paired end sequencing	Lactobacillus_in_severe_early_childhood_caries	Lactobacillus_in_severe_early_childhood_caries-sc-2012-06-01T12:52:01Z-2233	SC_EXP_9517_8#9	SC_RUN_9517_8#9	198193118;208798581;	54eca607a78ce7a2780fbc1406c5b545;dc9cc5d84572338aab0ec1c707112c9e;	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/ERR298631/ERR298631_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/ERR298631/ERR298631_2.fastq.gz;	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/ERR298631/ERR298631_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/ERR298631/ERR298631_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/ERR298631/ERR298631_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/ERR298631/ERR298631_2.fastq.gz;	405639889	43bac97be0ec1ccdb9e250c8b846d32e	ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR298631/9517_8#9.bam	fasp.sra.ebi.ac.uk:/vol1/run/ERR298/ERR298631/9517_8#9.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR298631/9517_8#9.bam	BAM	314428386	594a0ce9fbf99fb97bb57a419fba28e3	ftp.sra.ebi.ac.uk/vol1/err/ERR298/ERR298631	fasp.sra.ebi.ac.uk:/vol1/err/ERR298/ERR298631	ftp.sra.ebi.ac.uk/vol1/err/ERR298/ERR298631				G205_1_37-sc-2013-02-14T07:43:00Z-1561602			2013-06-11
PRJEB3060	ERP001475	SAMEA1920325	ERS214018	ERX271957	ERR298632	ERA227064	152331	Lactobacillus parabuchneri	ILLUMINA	Illumina HiSeq 2000	6868460	PAIRED	211	WGS	GENOMIC	RANDOM	1998905	399781000	SC	2013-06-11	2018-11-16	Illumina HiSeq 2000 paired end sequencing	Lactobacillus_in_severe_early_childhood_caries	Lactobacillus_in_severe_early_childhood_caries-sc-2012-06-01T12:52:01Z-2233	SC_EXP_9517_8#10	SC_RUN_9517_8#10	196966308;207618270;	e924baed89b180cc41c4ba86a44590c6;a98183aee60b064401d385a55ae92b30;	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/ERR298632/ERR298632_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/ERR298632/ERR298632_2.fastq.gz;	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/ERR298632/ERR298632_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/ERR298632/ERR298632_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/ERR298632/ERR298632_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/ERR298632/ERR298632_2.fastq.gz;	404224166	42459632f04a303b532070fc2f4fbd31	ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR298632/9517_8#10.bam	fasp.sra.ebi.ac.uk:/vol1/run/ERR298/ERR298632/9517_8#10.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR298632/9517_8#10.bam	BAM	313261937	1fa235cd93b9079be8392ddcc699a9e8	ftp.sra.ebi.ac.uk/vol1/err/ERR298/ERR298632	fasp.sra.ebi.ac.uk:/vol1/err/ERR298/ERR298632	ftp.sra.ebi.ac.uk/vol1/err/ERR298/ERR298632				G211_1_6-sc-2013-02-14T07:43:01Z-1561603			2013-06-11
PRJEB3060	ERP001475	SAMEA1920326	ERS214019	ERX271958	ERR298633	ERA227064	47770	Lactobacillus crispatus	ILLUMINA	Illumina HiSeq 2000	6868472	PAIRED	211	WGS	GENOMIC	RANDOM	2248054	449610800	SC	2013-06-11	2018-11-16	Illumina HiSeq 2000 paired end sequencing	Lactobacillus_in_severe_early_childhood_caries	Lactobacillus_in_severe_early_childhood_caries-sc-2012-06-01T12:52:01Z-2233	SC_EXP_9517_8#11	SC_RUN_9517_8#11	217733813;229116353;	10cc5e03b1767164aecb675dc1bb811c;7cddf43f0f8b92ee6f025ac3d1bcac3b;	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/ERR298633/ERR298633_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/ERR298633/ERR298633_2.fastq.gz;	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/ERR298633/ERR298633_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/ERR298633/ERR298633_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/ERR298633/ERR298633_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/ERR298633/ERR298633_2.fastq.gz;	444914740	e7d89c9c18ac1027f3b00334d29bdc31	ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR298633/9517_8#11.bam	fasp.sra.ebi.ac.uk:/vol1/run/ERR298/ERR298633/9517_8#11.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR298633/9517_8#11.bam	BAM	345153154	56075266c2e4a886ad6b85aedb50c903	ftp.sra.ebi.ac.uk/vol1/err/ERR298/ERR298633	fasp.sra.ebi.ac.uk:/vol1/err/ERR298/ERR298633	ftp.sra.ebi.ac.uk/vol1/err/ERR298/ERR298633				G216_1_31-sc-2013-02-14T07:43:03Z-1561604			2013-06-11
